ID,Title,Automation Type,Created By,Created On,Estimate,Expected Result,Forecast,Milestone,Preconditions,Priority,References,Section,Section Depth,Section Description,Steps,Steps Separated,Steps Separated (Expected Result),Steps Separated (Step),Suite,Suite ID,Type,Updated By,Updated On
C29619831,Main Page - Adaptive Banner Ads - iPad specific,,Greg Caron,11/2/22 17:39,,,,,,2 - Medium Priority,DISCO-542,Home Surface/Main Page,0,,,"1. GIVEN that I have an ad module in a team surface on an iPad
WHEN I have set a max tablet width
Expected Result:
THEN the ad should leverage the max width to determine size
2. GIVEN that I have an ad module in a team surface on an iPad
WHEN I have not set a max tablet height
Expected Result:
THEN google ad manager should pick a height for the ad
3. GIVEN that I have an ad module in a team surface on an iPad
WHEN I have not set a max height
Expected Result:
THEN google ad manager should pick a height for the ad
4. GIVEN that I have an ad module in a team surface on an iPad
WHEN I have set a max tablet height

Expected Result:
THEN the ad should fit within the max height","1. THEN the ad should leverage the max width to determine size
2. THEN google ad manager should pick a height for the ad
3. THEN google ad manager should pick a height for the ad
4. THEN the ad should fit within the max height","1. GIVEN that I have an ad module in a team surface on an iPad
WHEN I have set a max tablet width
2. GIVEN that I have an ad module in a team surface on an iPad
WHEN I have not set a max tablet height
3. GIVEN that I have an ad module in a team surface on an iPad
WHEN I have not set a max height
4. GIVEN that I have an ad module in a team surface on an iPad
WHEN I have set a max tablet height",Home Feed,S497381,Manual,Greg Caron,11/2/22 17:42
C29324700,Main Page - Correct Ad Unit Attribution on Articles,,Marco Osuna,9/20/22 12:10,,,,,,2 - Medium Priority,DISCO-781,Home Surface/Main Page,0,,,"1. GIVEN a user on a CLUB Home Surface
WHEN the user clicks on an article



Expected Result:
THEN the user should be linked to the article
AND the link should be structured like this: https://www.mlb.com/app/atbat/${club}/news/slug
2. GIVEN a user on a MLB Home Surface
WHEN the user clicks on an article

Expected Result:
THEN the user should be linked to the article
AND the link should be structured like this: https://www.mlb.com/app/atbat/news/slug
3. There are a few teams that need additional formatting for the common name:
""D-backs""
""Red Sox""
""White Sox""
""A's""
""Blue Jays""

^^ We need to remove special characters and empty spaces from those.
Expected Result:
THEN the user should be linked to the article
AND the link should be structured like this: https://www.mlb.com/app/atbat/${club}/news/slug","1. THEN the user should be linked to the article
AND the link should be structured like this: https://www.mlb.com/app/atbat/${club}/news/slug
2. THEN the user should be linked to the article
AND the link should be structured like this: https://www.mlb.com/app/atbat/news/slug
3. THEN the user should be linked to the article
AND the link should be structured like this: https://www.mlb.com/app/atbat/${club}/news/slug","1. GIVEN a user on a CLUB Home Surface
WHEN the user clicks on an article



2. GIVEN a user on a MLB Home Surface
WHEN the user clicks on an article

3. There are a few teams that need additional formatting for the common name:
""D-backs""
""Red Sox""
""White Sox""
""A's""
""Blue Jays""

^^ We need to remove special characters and empty spaces from those.",Home Feed,S497381,Manual,Marco Osuna,9/27/22 16:22
C29373865,Mixed Feed - Cards containing a title with < 2 lines should look the same,,Marco Osuna,9/28/22 12:28,,THEN the are the same height regardless of whether 1 or 2 lines of text are showing,,,GIVEN a user on the Mixed Feed,2 - Medium Priority,,Home Surface/Main Page,0,,WHEN the content cards are viewed,,,,Home Feed,S497381,Manual,Greg Caron,4/10/23 11:51
C29375082,Main Page - Set Video Context & Autoplay Flag,,Marco Osuna,9/28/22 12:32,,,,,,2 - Medium Priority,,Home Surface/Main Page,0,,,"1. Navigate to home feed, select MLB home surface and Play a video on ""Top Highlights"" section.
Expected Result:
Look for an analytics call in charles and validate the following:
video.autoplay = false (autoplay is not supported)
video.context = Home Feed : MLB
2. Select a video on the ""News"" section.
Expected Result:
Look for an analytics call in charles and validate the following:
video.autoplay = false (autoplay is not supported)
video.context = Home Feed : MLB
3. Navigate to home feed, select a TEAM home surface and Play a video on ""Top Highlights"" section.
Expected Result:
Look for an analytics call in charles and validate the following:
video.autoplay = false (autoplay is not supported)
video.context = Home Feed : $team
4. Select a video on the ""News"" section.
Expected Result:
Look for an analytics call in charles and validate the following:
video.autoplay = false (autoplay is not supported)
video.context = Home Feed : $team","1. Look for an analytics call in charles and validate the following:
video.autoplay = false (autoplay is not supported)
video.context = Home Feed : MLB
2. Look for an analytics call in charles and validate the following:
video.autoplay = false (autoplay is not supported)
video.context = Home Feed : MLB
3. Look for an analytics call in charles and validate the following:
video.autoplay = false (autoplay is not supported)
video.context = Home Feed : $team
4. Look for an analytics call in charles and validate the following:
video.autoplay = false (autoplay is not supported)
video.context = Home Feed : $team","1. Navigate to home feed, select MLB home surface and Play a video on ""Top Highlights"" section.
2. Select a video on the ""News"" section.
3. Navigate to home feed, select a TEAM home surface and Play a video on ""Top Highlights"" section.
4. Select a video on the ""News"" section.",Home Feed,S497381,Manual,Marco Osuna,9/28/22 12:35
C29487092,Main Page - Accessibility,,Marco Osuna,10/13/22 12:56,,,,,,2 - Medium Priority,DISCO-778,Home Surface/Main Page,0,,,"1. GIVEN a user has opened the team drawer AND has navigated to the bottom of the drawer (Washington Nationals)

WHEN a user navigates to the next item


Expected Result:
THEN focus will loop back up to the first item
2. GIVEN a user is on the HomeFeed

WHEN a user focuses on the Teams Drawer Dropdown button


Expected Result:
THEN the use should hear ?Select team menu.  Double-tap to activate.?
Note: When navigating from the list ""Out of list"" will be inserted after ""Select team menu.""
3. GIVEN a user is on the Home Feed

WHEN a user focuses on the ad


Expected Result:
THEN the user should hear ?Advertisement? AND not a line-by-line readout of the Ad","1. THEN focus will loop back up to the first item
2. THEN the use should hear ?Select team menu.  Double-tap to activate.?
Note: When navigating from the list ""Out of list"" will be inserted after ""Select team menu.""
3. THEN the user should hear ?Advertisement? AND not a line-by-line readout of the Ad","1. GIVEN a user has opened the team drawer AND has navigated to the bottom of the drawer (Washington Nationals)

WHEN a user navigates to the next item


2. GIVEN a user is on the HomeFeed

WHEN a user focuses on the Teams Drawer Dropdown button


3. GIVEN a user is on the Home Feed

WHEN a user focuses on the ad",Home Feed,S497381,Manual,Greg Caron,10/28/22 15:15
C29798701,Main Page - Static (Fallback) Surface Default settings,,Greg Caron,12/6/22 15:22,,"THEN the following settings will be used as defaults:

Video Carousel display limit = 5
Headline Stack display limit = 6
Video Content limit = 15
Headline Stack limit = 15
Mixed Feed limit = 25",,,GIVEN a user on the home surface,2 - Medium Priority,DISCO-985,Home Surface/Main Page,0,,WHEN the static (fallback) surface is loaded,,,,Home Feed,S497381,Manual,Greg Caron,12/6/22 15:29
C29935813,Main Page - Team page replace - fresh install Deprecated,,Greg Caron,1/10/23 16:26,,,,,GIVEN a user who successfully installs the MLB app,2 - Medium Priority,HOME-241,Home Surface/Main Page,0,,,"1. WHEN they first launch the app
AND a favorite team is selected during onboarding


Expected Result:
THEN they have the Home Tab as the default tab
2. WHEN they first launch the app
AND a favorite team is not selected during onboarding
Expected Result:
THEN they have the Team Tab as the default tab","1. THEN they have the Home Tab as the default tab
2. THEN they have the Team Tab as the default tab","1. WHEN they first launch the app
AND a favorite team is selected during onboarding


2. WHEN they first launch the app
AND a favorite team is not selected during onboarding",Home Feed,S497381,Manual,Giancarlo Bianchi,9/18/23 15:59
C30212623,"Midfield - Default api timeout, override",,Greg Caron,2/28/23 13:04,,,,,GIVEN a user navigates to the home surface,2 - Medium Priority,HOME-451,Home Surface/Main Page,0,,,"1. WHEN using the app with a proxy open
AND a throttled the connection to Midfield

Expected Result:
THEN the request should timeout if not completed 30 seconds
2. WHEN the timeout is overridden in AppConfig.json
    {""midfield"": {""timeout"": 60}}

Expected Result:
THEN the timeout should be set to 60 seconds
AND I should be able to use the long response times that come back on QA","1. THEN the request should timeout if not completed 30 seconds
2. THEN the timeout should be set to 60 seconds
AND I should be able to use the long response times that come back on QA","1. WHEN using the app with a proxy open
AND a throttled the connection to Midfield

2. WHEN the timeout is overridden in AppConfig.json
    {""midfield"": {""timeout"": 60}}",Home Feed,S497381,Manual,Greg Caron,2/28/23 13:10
C30259061,Main Page - Only team snapshot should refresh within 30s window,,Greg Caron,3/8/23 13:23,,,,,GIVEN a user,2 - Medium Priority,HOME-485,Home Surface/Main Page,0,,,"1. WHEN an initial call to load the surface is made




Expected Result:
THEN all apollo requests should be made to the network
2. WHEN the user pulls to refresh within 30 seconds of the initial call
Expected Result:
THEN the team snapshot should be made to the network
AND all other calls should be cached on the client until the 30 second window is expired","1. THEN all apollo requests should be made to the network
2. THEN the team snapshot should be made to the network
AND all other calls should be cached on the client until the 30 second window is expired","1. WHEN an initial call to load the surface is made




2. WHEN the user pulls to refresh within 30 seconds of the initial call",Home Feed,S497381,Manual,Greg Caron,3/8/23 13:25
C30270033,Main Page - Default surface loads on api call failure,,Greg Caron,3/9/23 13:13,,,,,GIVEN that I have home active in the MLB app,2 - Medium Priority,HOME-481,Home Surface/Main Page,0,,,"1. AND I am opening the app for the first time (or cold starting the app)
AND the request for loading the surface configuration fails
Expected Result:
THEN I should get the backup/default surface
2. WHEN I have previously opened the home tab and had is successfully load
AND the app is restarted
AND the request for loading the surface configuration fails
Expected Result:
THEN I should get the backup/default surface
3. WHEN I have previously opened the home tab and had is successfully load
AND the request for loading the surface configuration fails
AND the surface is refreshed (app not restarted)
Expected Result:
THEN the same surface continues to load (iOS only)

Note: currently for Android, surface is only retained for 30s, then on next call default surface loads","1. THEN I should get the backup/default surface
2. THEN I should get the backup/default surface
3. THEN the same surface continues to load (iOS only)

Note: currently for Android, surface is only retained for 30s, then on next call default surface loads","1. AND I am opening the app for the first time (or cold starting the app)
AND the request for loading the surface configuration fails
2. WHEN I have previously opened the home tab and had is successfully load
AND the app is restarted
AND the request for loading the surface configuration fails
3. WHEN I have previously opened the home tab and had is successfully load
AND the request for loading the surface configuration fails
AND the surface is refreshed (app not restarted)",Home Feed,S497381,Manual,Greg Caron,3/14/23 12:55
C30293479,Main Page - All modules load last good config on failed api call,,Greg Caron,3/14/23 14:17,,THEN I should see the last known good value for that module,,,"GIVEN that I am on the home surface
AND I have successfully retrieved the data for a module after a cold start",2 - Medium Priority,HOME-528,Home Surface/Main Page,0,,"WHEN I refresh home
AND the request for that module fails",,,,Home Feed,S497381,Manual,Greg Caron,3/14/23 14:19
C30089551,Main Page - iPhone users see background color for cards in gray,,Sid,2/8/23 9:37,,THEN the background color for cards is grey,,,GIVEN an iPhone user,2 - Medium Priority,HOME-360,Home Surface/Main Page,0,,WHEN the user is in dark mode,,,,Home Feed,S497381,Manual,Greg Caron,3/16/23 17:59
C30089552,Main Page - iPad users see background color for cards in black,,Sid,2/8/23 9:37,,THEN the background color for cards is black,,,GIVEN an iPad user,2 - Medium Priority,HOME-360,Home Surface/Main Page,0,,WHEN the user is in dark mode,,,,Home Feed,S497381,Manual,Greg Caron,3/16/23 17:59
C30388126,Main Page - Loading Skeletons,,Greg Caron,3/29/23 15:45,,,,,,2 - Medium Priority,"HOME-483, HOME-541, HOME-549, HOME-554, HOME-561",Home Surface/Main Page,0,,,"1. GIVEN a user
WHEN they open the App
AND the Home Tab is fetching data



Expected Result:
THEN the user is shown a loading skeleton
AND the skeleton has a shimmer effect
2. GIVEN a surface
WHEN the loading skeleton is present
AND the data for the surface is loaded successfully

Expected Result:
THEN each skeleton module is replaced with the actual modules as each call completes
3. GIVEN a user
WHEN usesLoadingSkeletons is set to false in homeFeed app settings
AND they open the App
AND the Home Tab is fetching data

Expected Result:
THEN the legacy spinner is seen an page does not load until all calls are complete
Note: iOS only
4. GIVEN a user
WHEN usesDynamicContentInsertion is set to false in homeFeed app settings
AND they open the App
AND the Home Tab is fetching data
Expected Result:
THEN all skeleton modules are replaced with the actual modules after all calls are complete
Notes: iOS only.","1. THEN the user is shown a loading skeleton
AND the skeleton has a shimmer effect
2. THEN each skeleton module is replaced with the actual modules as each call completes
3. THEN the legacy spinner is seen an page does not load until all calls are complete
Note: iOS only
4. THEN all skeleton modules are replaced with the actual modules after all calls are complete
Notes: iOS only.","1. GIVEN a user
WHEN they open the App
AND the Home Tab is fetching data



2. GIVEN a surface
WHEN the loading skeleton is present
AND the data for the surface is loaded successfully

3. GIVEN a user
WHEN usesLoadingSkeletons is set to false in homeFeed app settings
AND they open the App
AND the Home Tab is fetching data

4. GIVEN a user
WHEN usesDynamicContentInsertion is set to false in homeFeed app settings
AND they open the App
AND the Home Tab is fetching data",Home Feed,S497381,Manual,Greg Caron,4/18/23 13:21
C28758949,Main page - Localization,,Greg Caron,6/22/22 13:16,,"THEN all section titles and header/footer button text will be in Spanish
AND all content card text (ex. title, headline, blurb, etc) will be in Spanish
AND all content will be in Spanish",186s,Appium,GIVEN a use on the home surface,2 - Medium Priority,,Home Surface/Main Page,0,,WHEN the device is set to Spanish,,,,Home Feed,S497381,Manual,Giancarlo Bianchi,1/16/24 17:25
C28758951,Main page - light/dark mode,,Greg Caron,6/22/22 13:32,,,249s,Appium,GIVEN a user on the home surface,3 - Low Priority,,Home Surface/Main Page,0,,,"1. WHEN dark mode is selected
Expected Result:
THEN the dark theme will be applied as expected
2. WHEN light mode is selected
Expected Result:
THEN the light theme will be applied as expected","1. THEN the dark theme will be applied as expected
2. THEN the light theme will be applied as expected","1. WHEN dark mode is selected
2. WHEN light mode is selected",Home Feed,S497381,Manual,Greg Caron,10/11/24 16:52
C28754232,Main page - refresh,,Greg Caron,6/21/22 13:24,,"THEN the page will refresh
AND if the cache has expired a new api call will be made",,,GIVEN a user on the Home Surface,2 - Medium Priority,,Home Surface/Main Page,0,,WHEN the page is 'pulled down',,,,Home Feed,S497381,Manual,Giancarlo Bianchi,9/26/23 13:43
C32661405,Main page - Home Feed pinned to top module on Launch,,Giancarlo Bianchi,1/16/24 13:39,,Then content should load and user should not be able to scroll up,,,Given a home configuration with more than one mixed feed module,2 - Medium Priority,,Home Surface/Main Page,0,,When user opens app pointed to said configuration (slug),,,,Home Feed,S497381,Manual,Giancarlo Bianchi,1/16/24 13:39
C34280746,Main page - ignore local cache for pull to refresh,,Greg Caron,11/6/24 11:24,,,,,GIVEN that I have loaded home,2 - Medium Priority,MLBAPP-2705,Home Surface/Main Page,0,,,"1. WHEN I pull to refresh
Expected Result:
THEN the queries should be run and should rely on server side caching properties
2. WHEN I switch tabs then return to  home
AND the duration is less than 30 seconds

Expected Result:
THEN queries that fall within that window should not be called
3. WHEN I background and foreground the app
AND the duration is less than 30 seconds

Expected Result:
THEN queries that fall within that window should not be called","1. THEN the queries should be run and should rely on server side caching properties
2. THEN queries that fall within that window should not be called
3. THEN queries that fall within that window should not be called","1. WHEN I pull to refresh
2. WHEN I switch tabs then return to  home
AND the duration is less than 30 seconds

3. WHEN I background and foreground the app
AND the duration is less than 30 seconds",Home Feed,S497381,Manual,Greg Caron,11/6/24 11:27
C27194940,Main Page - navigation - Analytics,,Greg Caron,4/13/22 15:38,,,,,,2 - Medium Priority,"HOMES-69, HOME-113, HOME-155",Home Surface/Main Page/Analytics,1,,,"1. GIVEN a user
WHEN they navigate to the Home page on initial launch of app
Expected Result:
THEN the following data will be logged to Adobe:

trackState:	   MLB App : <platform> : Home Feed : MLB
p13n.puid          <puid>
channel:           Home Feed
surface.pullToRefresh   false

Note: if no team is selected on the page, then the team name will be MLB
2. GIVEN a user on the home surface
WHEN they pull to refresh the Home page
Expected Result:
THEN the following data will be logged to Adobe:

trackState:	   MLB App : <platform> : Home Feed : MLB
p13n.puid          <puid>
channel:           Home Feed
surface.pullToRefresh   true
3. GIVEN a user on the home surface
WHEN they tab away and return
OR the app is backgrounded and restored
Expected Result:
THEN the following data will be logged to Adobe:

trackState:	   MLB App : <platform> : Home Feed : MLB
p13n.puid          <puid>
channel:           Home Feed
surface.pullToRefresh   false
4. GIVEN a user on the Home Page
WHEN web content (ex. VSM, Short, or Game Stories) is tapped and then closed, exposing the Home surface again
Expected Result:
THEN the following data will be logged to Adobe:

trackState:	   MLB App : <platform> : Home Feed : MLB
p13n.puid          <puid>
channel:           Home Feed
surface.pullToRefresh   false

Note: if no team is selected on the page, then the team name will be MLB","1. THEN the following data will be logged to Adobe:

trackState:	   MLB App : <platform> : Home Feed : MLB
p13n.puid          <puid>
channel:           Home Feed
surface.pullToRefresh   false

Note: if no team is selected on the page, then the team name will be MLB
2. THEN the following data will be logged to Adobe:

trackState:	   MLB App : <platform> : Home Feed : MLB
p13n.puid          <puid>
channel:           Home Feed
surface.pullToRefresh   true
3. THEN the following data will be logged to Adobe:

trackState:	   MLB App : <platform> : Home Feed : MLB
p13n.puid          <puid>
channel:           Home Feed
surface.pullToRefresh   false
4. THEN the following data will be logged to Adobe:

trackState:	   MLB App : <platform> : Home Feed : MLB
p13n.puid          <puid>
channel:           Home Feed
surface.pullToRefresh   false

Note: if no team is selected on the page, then the team name will be MLB","1. GIVEN a user
WHEN they navigate to the Home page on initial launch of app
2. GIVEN a user on the home surface
WHEN they pull to refresh the Home page
3. GIVEN a user on the home surface
WHEN they tab away and return
OR the app is backgrounded and restored
4. GIVEN a user on the Home Page
WHEN web content (ex. VSM, Short, or Game Stories) is tapped and then closed, exposing the Home surface again",Home Feed,S497381,Manual,Greg Caron,8/29/23 11:38
C30817475,Main Page - Scroll Depth Tracking - Analytics,,Greg Caron,6/8/23 12:58,,"THEN fire a trackAction with the deepest depth achieved by the user in that session
AND points should be sent in the context data

Notes:

- It should send the path to Home and append ""Max Scroll Depth"" as the name (see other tracking calls for reference)

- It should send ""points"": ""{POINTS}"" as part of the extra data",,,GIVEN a user on the Home tab,2 - Medium Priority,HOME-736,Home Surface/Main Page/Analytics,1,,WHEN the user exits the MLB App or leaves the surface,,,,Home Feed,S497381,Manual,Greg Caron,8/29/23 11:38
